# n | country name | income | shield location | flag location | neighbours | terrain
0 | DARKAN | 20 | ( 3 , 2 ) | (2 , 3) | 1 ;  2; 3;4 | ( 1 , 2 ) ; ( 2,2);(3,2);(4,2);(1,3);(2,3);(3,3);(4,3);(1,4);(2,4);(3,4);(4,4);(3,5);(4,5);(0,23);(1,23);(2,23);(3,23);(4,23);(5,23);(6,23);(7,23)
11 | LEZEN | 50 | (7,9) | (8,8) | 3;4;10;12 | (7,7);(7,8);(8,8);(6,9);(7,9);(8,9);(6,10);(7,10);(8,10);(9,10)
12 | MUTTAN | 20 | (9,11) | (8,12) | 4;10;11;13;14;15;17 | (10,10);(7,11);(8,11);(9,11);(10,11);(7,12);(8,12);(9,12);(10,12);(7,13);(8,13);(9,13);(10,13);(11,13);(5,14);(6,14);(7,14)
13 | NAO | 30 | (15,8) | (16,9) | 8;10;12;14 | (15,7);(17,7);(18,7);(15,8);(16,8);(17,8);(18,8);(13,9);(14,9);(15,9);(16,9);(17,9);(12,10);(13,10);(14,10);(15,10);(16,10);(12,11);(13,11);(14,11);(15,11);(16,11);(11,12);(12,12);(16,12)
14 | ODOS | 40 | (14,17) | (16,16) | 12;13;15;16;21;22;23 | (13,12);(14,12);(15,12);(12,13);(13,13);(14,13);(15,13);(16,13);(17,13);(12,14);(13,14);(14,14);(15,14);(16,14);(17,14);(12,15);(13,15);(14,15);(15,15);(16,15);(17,15);(18,15);(12,16);(13,16);(14,16);(15,16);(16,16);(17,16);(18,16);(12,17);(13,17);(14,17);(15,17);(16,17);(17,17);(18,17);(19,17);(12,18);(13,18);(14,18);(15,18);(16,18);(17,18);(18,18);(19,18);(20,18);(12,19);(13,19);(14,19);(15,19);(16,19);(17,19);(18,19);(19,19);(20,19);(13,20);(14,20);(15,20);(16,20);(17,20);(18,20);(14,21);(15,21);(16,21);(17,21);(14,22);(15,22)
15 | PONTERDUM | 50 | (8,14) | (10,14) | 12;14;16;17 | (8,14);(9,14);(10,14);(11,14);(8,15);(9,15);(10,15);(11,15);(10,16);(11,16)
16 | ROBERDEN | 20 | (9,18) | (10,17) | 14;15;17;19;21 | (9,16);(8,17);(9,17);(10,17);(11,17);(8,18);(9,18);(10,18);(11,18)
17 | SEVIL | 30 | (6,16) | (4,15) | 4;6;12;15;16;18;19 | (4,13);(4,14);(4,15);(5,15);(6,15);(7,15);(4,16);(5,16);(6,16);(7,16);(8,16);(4,17);(5,17);(6,17);(7,17);(5,18);(6,18)
18 | TYNOLINAS | 40 | (3,18) | (2,17) | 6;17;19 | (3,15);(2,16);(3,16);(2,17);(3,17);(2,18);(3,18);(4,18);(3,19);(4,19)
19 | ZORRAT | 50 | (4,21) | (6,20) | 16;17;18;20;21 | (7,18);(2,19);(5,19);(6,19);(7,19);(8,19);(9,19);(1,20);(2,20);(3,20);(4,20);(5,20);(6,20);(7,20);(8,20);(9,20);(3,21);(4,21);(5,21);(6,21);(7,21);(8,21);(3,22);(4,22);(5,22);(6,22);(7,22)
20 | ATHARHON | 20 | (2,22) | (1,21) | 19 | (0,21);(1,21);(2,21);(0,22);(1,22);(2,22)
21 | THORING | 30 | (9,22) | (11,21) | 14;16;19;22 | (10,19);(11,19);(10,20);(11,20);(12,20);(9,21);(10,21);(11,21);(12,21);(13,21);(8,22);(9,22);(10,22);(11,22);(12,22);(13,22)
22 | MORDOR | 40 | (18,22) | (16,22) | 14;21;23 | (18,21);(16,22);(17,22);(18,22);(19,22);(20,22)
23 | PROTOS | 50 | (22,22) | (20,21) | 14;22 | (19,20);(20,20);(21,20);(22,20);(19,21);(20,21);(21,21);(22,21);(23,21);(21,22);(22,22);(23,22);(24,22)
